"","subject_ID","condition","trial_num","treat_location","chosen_side_reli","response_orig","response_reli"
"295","messerli_md1_037","non",7,"R","L",0,0
"296","messerli_md1_037","non",8,"L","L",1,1
"297","messerli_md1_037","odour",1,"R","L",0,0
"298","messerli_md1_037","odour",2,"L","R",0,0
"299","messerli_md1_037","odour",3,"L","R",0,0
"300","messerli_md1_037","odour",4,"R","R",1,1
"301","messerli_md1_102","ost",1,"L","L",1,1
"302","messerli_md1_102","ost",2,"R","L",0,0
"303","messerli_md1_102","ost",3,"L","L",1,1
"304","messerli_md1_102","ost",4,"R","L",0,0
"305","messerli_md1_102","ost",5,"L","L",1,1
"306","messerli_md1_102","ost",6,"L","L",1,1
"307","messerli_md1_102","ost",7,"R","L",0,0
"308","messerli_md1_102","ost",8,"R","L",0,0
"309","messerli_md1_102","non",1,"R","L",0,0
"310","messerli_md1_102","non",2,"L","L",1,1
"311","messerli_md1_102","non",3,"L","R",0,0
"312","messerli_md1_102","non",4,"R","R",1,1
"313","messerli_md1_102","non",5,"L","L",1,1
"314","messerli_md1_102","non",6,"R","R",1,1
"315","messerli_md1_102","non",7,"R","R",1,1
"316","messerli_md1_102","non",8,"L","L",1,1
"317","messerli_md1_102","odour",1,"R","R",1,1
"318","messerli_md1_102","odour",2,"L","L",1,1
"319","messerli_md1_102","odour",3,"L","L",1,1
"320","messerli_md1_102","odour",4,"R","L",0,0
"321","messerli_md1_056","non",1,"L","R",0,0
"322","messerli_md1_056","non",2,"R","L",0,0
"323","messerli_md1_056","non",3,"L","L",1,1
"324","messerli_md1_056","non",4,"R","R",1,1
"325","messerli_md1_056","non",5,"L","L",1,1
"326","messerli_md1_056","non",6,"L","L",1,1
"327","messerli_md1_056","non",7,"R","L",0,0
"328","messerli_md1_056","non",8,"R","L",0,0
"329","messerli_md1_056","ost",1,"R","L",0,0
"330","messerli_md1_056","ost",2,"L","R",0,0
"331","messerli_md1_056","ost",3,"R","L",0,0
"332","messerli_md1_056","ost",4,"L","L",1,1
"333","messerli_md1_056","ost",5,"L","L",1,1
"334","messerli_md1_056","ost",6,"R","R",1,1
"335","messerli_md1_056","ost",7,"L","L",1,1
"336","messerli_md1_056","ost",8,"R","L",0,0
"337","messerli_md1_056","odour",1,"R","L",0,0
"338","messerli_md1_056","odour",2,"L","L",1,1
"339","messerli_md1_056","odour",3,"L","L",1,1
"340","messerli_md1_056","odour",4,"R","L",0,0
"341","messerli_md1_073","ost",1,"R","R",1,1
"342","messerli_md1_073","ost",2,"L","L",1,1
"343","messerli_md1_073","ost",3,"L","L",1,1
"344","messerli_md1_073","ost",4,"R","L",0,0
"345","messerli_md1_073","ost",5,"L","L",1,1
"346","messerli_md1_073","ost",6,"R","R",1,1
